0.000476661
-0.824924,-0.127514,-0.550672
0.000348075
-0.968921,0.237841,-0.0679942
0.000258395
-0.20702,0.908808,0.362231
0.00083843
0.385713,0.820927,0.421075
0.000534623
-0.0739832,0.826429,0.558159
0.000319459
-0.428473,0.692628,0.58024
0.000697583
-0.126304,0.984942,0.118053
0.000179106
0.783577,0.564038,0.260516
0.000689339
-0.863225,-0.504391,-0.0207743
0.000293974
0.297712,-0.901509,-0.314083
0.000348953
-0.967515,-0.247952,0.0493469
0.000216549
0.830222,0.425606,0.359988
0.000456182
-0.536764,0.830579,0.148402
0.000602379
-0.134269,0.982942,0.125684
0.000416349
-0.845403,-0.531058,-0.0572013
0.000474319
0.0677359,0.902694,0.424917
0.000458251
0.810272,0.497678,0.309477
0.000729102
0.715841,0.616403,0.328053
0.000221721
-0.678155,0.152549,-0.718912
0.000442129
0.380845,0.883046,0.274201
0.000411147
0.637701,0.749526,0.177617
0.000100479
0.0668737,0.669658,0.739653
0.000646773
0.12166,0.90495,0.407755
0.000568603
-0.200635,0.250517,-0.947094
0.000339697
0.116386,0.941325,0.316798
0.000897893
-0.330857,0.859816,0.38891
0.000499211
-0.859056,0.511144,-0.0274637
0.00173523
-0.182757,0.961432,-0.205544
0.000314849
-0.898253,0.147059,-0.414145
0.000290696
-0.970182,-0.218845,-0.104181
0.000408715
-0.870057,-0.422895,0.253298
0.000505123
-0.173839,0.98003,-0.0965444
0.00112847
-0.182608,0.977069,-0.109503
0.000245226
-0.131321,0.938414,-0.319583
0.000533471
-0.0782097,0.941427,0.328023
0.000769326
-0.152184,0.984375,-0.0885781
0.000284251
-0.382514,0.229919,-0.894886
0.000540137
-0.95123,0.288656,-0.108811
0.000691944
-0.15765,0.962348,-0.221433
0.000437224
-0.575128,0.70717,0.411265
0.000390886
0.165352,0.717134,0.677036
0.000831791
0.537945,0.805414,0.248843
0.000681764
-0.161675,0.985473,0.051997
0.000604297
-0.950394,0.281303,-0.132737
0.000889226
-0.0966603,0.993675,-0.0571589
0.00086164
-0.107124,0.994245,0.000627667
0.000377164
0.271816,0.850474,0.450343
0.00049977
-0.243837,0.932817,0.265324
0.000464719
-0.381533,0.886217,0.262777
0.000562292
-0.0696282,0.990244,-0.120703
0.000537915
-0.867855,-0.486162,0.102341
0.000565727
0.689753,0.620616,0.372929
0.000723118
0.781609,0.602567,0.161244
0.000359868
0.808426,0.452949,0.375878
0.000358351
-0.778608,0.440623,-0.446789
0.000634136
0.0529841,0.980672,-0.188347
0.000368757
0.36458,0.699771,-0.61433
0.000457438
0.1013,0.85535,0.50805
0.000356653
-0.837572,-0.546079,-0.0164315
0.000816246
-0.268257,0.903728,0.333638
0.000346606
-0.545917,0.796703,0.259304
0.000592557
-0.0267697,0.896163,0.442917
0.000545849
-0.990827,-0.00875746,-0.134853
0.000573796
-0.372282,0.84397,0.386161
0.000364043
-0.699305,-0.7059,-0.112597
0.000467051
-0.068907,0.813993,0.576774
0.000234591
0.561636,0.31816,0.763766
0.000482349
0.548298,0.715596,0.432772
0.000393104
-0.956145,-0.27008,0.113326
0.000233156
-0.411334,-0.0427651,0.910481
0.000256939
-0.196208,0.298505,0.934022
0.000362551
-0.203305,0.317196,0.926312
0.000239086
-0.0975939,0.976977,0.189712
0.000505227
-0.394434,0.774217,0.494985
0.00042995
-0.105844,0.575112,0.811198
0.000324845
0.552745,0.831421,0.0566748
0.000335438
-0.775826,-0.623221,-0.0984377
0.000604308
0.552372,0.761972,0.338058
0.000262422
-0.158415,-0.224522,0.961506
0.000466417
-0.332245,0.632562,0.699628
0.000474651
0.301609,0.908299,0.289872
0.000542977
-0.414956,0.820809,0.392535
0.000408086
-0.35266,0.366628,0.860938
0.000406451
-0.888657,0.401304,-0.22191
0.000639574
0.0181874,-0.527852,-0.849142
0.000797859
0.0524824,0.0623469,-0.996674
0.000333385
0.165974,0.882555,0.439942
0.000292391
-0.213767,-0.232199,0.948888
0.000372775
0.137305,0.119015,0.983353
0.000318791
-0.0910769,0.502891,0.859538
0.000639083
0.897286,0.285133,-0.337013
0.000363888
-0.989329,-0.133536,-0.0582779
0.00161962
-0.244358,0.96619,-0.0822579
